carID,price
12000,39341.42
12001,23628.26
12004,58544.49
12013,14915.41
12017,49832.79
12019,23829.07833333333
12020,17599.14
12024,21862.66
12027,24553.96
12028,34998.13
12029,32250.48
12034,26613.14
12040,46883.68
12041,31835.23
12042,11363.52
12043,33458.2
12046,34618.21
12047,28492.34
12048,2719.53
12049,7755.74
12052,28184.83
12054,23527.94
12056,25962.16
12060,38111.16
12064,54237.12
12069,33892.48
12071,74743.65
12073,27471.08
12076,33458.2
12081,11300.8
12082,20976.35
12083,19674.79
12088,9044.4
12091,17983.95
12095,17288.37
12096,26291.97
12100,21617.48
12102,22018.73
12103,89234.21
12116,30623.02
12119,70440.86
12122,8631.01
12129,13165.29
12133,30538.77
12136,51784.68
12138,19881.36
12141,35451.83
12142,20517.56
12151,10303.43
12153,15684.75
12155,48227.36
12158,20140.39
12160,14755.28
12166,33764.96
12167,20557.35
12173,23354.56
12179,18084.18
12180,20179.208
12181,17566.67690476191
12182,14654.6
12183,8579.91
12184,8098.1
12186,48750.07
12187,19368.75
12191,40149.89
12193,34191.3
12196,20404.7
12199,16049.01
12201,47531.83
12203,20259.32
12208,19272.27
12210,14323.92
12211,22935.39
12219,18777.56
12220,16841.76
12224,51209.89
12228,49118.53
12231,12831.81
12232,22826.77
12233,64439.97
12235,44074.4
12238,18273.05
12245,48067.0
12247,48272.67
12248,45831.54
12250,21131.64
12254,33341.35333333333
12256,13467.75
12258,8457.13
12259,44129.51
12264,11958.09
12265,20385.95
12266,25874.32
12268,35860.71
12270,22033.13
12274,20430.92
12276,21408.76392857143
12277,8643.63
12279,20502.2
12283,24531.69
12284,34501.1
12287,31968.335
12289,57621.74
12291,18199.14
12292,35030.81
12295,12743.07
12298,22311.62166666667
12299,20750.11
12300,35554.5
12309,7180.93
12311,19941.01
12312,8897.51
12314,10548.84
12318,4265.72
12320,55088.47
12321,4597.266666666666
12324,37418.74
12325,33020.29
12326,9997.92
12328,16654.48
12329,17903.19
12331,8574.13
12332,30670.93
12333,13707.92
12338,18578.2
12346,18685.54
12354,24783.58
12355,27862.6
12359,33086.58
12360,34668.32
12362,8967.456666666667
12364,12574.72
12365,46808.84
12368,14701.07
12373,16445.66
12376,7631.14
12378,14494.25
12379,34128.01
12381,36023.79
12384,18365.08
12386,7904.59
12388,34595.51
12392,25748.05
12401,33888.3
12402,55570.47
12405,8754.82
12407,17540.57
12410,9026.06
12412,49196.2
12415,7892.15
12417,41664.73
12422,50298.49
12424,18754.16
12425,41564.06
12429,3328.27
12430,19164.84
12432,6003.36
12434,22600.75
12436,37876.31
12437,10544.8
12442,35670.55
12444,7897.91
12448,47282.68
12449,4755.18
12450,30960.506666666668
12451,47436.68
12452,32359.77
12453,20375.56
12457,11095.89
12460,4425.51
12465,13014.4
12467,19164.84
12468,12904.1
12469,21474.54
12474,18221.26
12482,7017.13
12485,22572.04
12487,8110.17
12501,6876.8
12504,17098.55
12506,16761.71
12507,11535.69
12508,17490.98
12511,16018.67
12518,1844.71
12521,11377.1
12522,23713.64
12538,7937.576666666666
12542,11370.02
12545,22557.64
12546,4827.39
12547,21790.55
12548,20528.4
12549,11501.03
12551,13969.01
12552,16759.46
12553,35000.46
12554,17452.08
12556,7126.89
12557,50425.56
12560,16018.67
12562,32432.08
12563,5712.0
12564,16273.33
12566,15222.03
12574,29718.63
12575,76567.55
12576,63821.19
12580,13198.34
12583,11556.07
12589,20047.7
12590,10567.93
12591,21696.68
12594,13107.23
12598,26567.04
12601,76187.81
12602,11384.38
12603,26777.1
12604,25752.45
12605,26611.56
12609,35302.835
12615,34586.87
12618,19076.23
12619,35486.82
12621,38870.23
12622,7850.0
12630,17730.5
12631,51586.26
12632,2056.85
12639,9652.57
12641,21934.93
12645,48807.36
12647,34907.67
12648,17909.69
12651,45459.96
12655,19821.38
12657,37039.06
12662,35361.32
12665,19748.37
12666,7439.176666666667
12668,27638.42
